4.68,10232,9.53,1221,Master_and_Above
5.45,13486,7.11,1782,Master_and_Above
8.00,08596,8.00,0592,Master_and_Above
4.12,10990,6.34,1597,Master_and_Above
4.07,10549,6.11,1019,Master_and_Above
7.62,12275,8.00,0420,Master_and_Above
6.18,09129,9.27,0738,Master_and_Above
8.93,12644,7.21,0719,Master_and_Above
8.79,10280,9.59,0059,Master_and_Above
5.21,13568,7.53,1195,Master_and_Above
5.02,10017,5.55,2048,Master_and_Above
5.02,09646,5.55,2260,Master_and_Above
4.45,09125,5.56,1900,Master_and_Above
5.78,10142,5.94,1573,Master_and_Above
5.64,9530,4.95,12555,Master_and_Above
4.69,10579,6.26,1645,Master_and_Above
4.90,10555,6.16,1482,Master_and_Above
5.69,08586,6.55,2206,Master_and_Above
4.98,09569,6.64,1889,Master_and_Above
5.79,08885,4.31,2386,Master_and_Above
5.96,09008,6.39,2009,Master_and_Above
6.01,08446,4.51,2136,Master_and_Above
5.15,09910,5.10,1488,Master_and_Above
3.75,08346,4.55,2784,Master_and_Above
5.25,08865,6.73,2114,Master_and_Above
5.74,09348,6.57,1800,Master_and_Above
6.27,08673,6.76,1198,Master_and_Above
5.68,08970,4.98,1476,Master_and_Above
5.01,10859,5.43,1737,Master_and_Above
4.55,10204,6.38,1946,Master_and_Above
5.01,10859,5.43,1737,Master_and_Above
4.55,10204,6.38,1946,Master_and_Above
5.79,10653,5.90,0894,Master_and_Above
4.28,08325,5.27,1609,Master_and_Above
9.42,08386,5.23,1305,Master_and_Above
7.20,9791,8.04,1411,Master_and_Above
8.35,12089,8.35,966,Master_and_Above
8.83,11860,10.6,462,Master_and_Above
8.20,10128,9.09,267,Master_and_Above
10.04,10512,9.23,214,Master_and_Above
6.82,10462,6.17,766,Master_and_Above
8.83,11029,8.26,585,Master_and_Above
6.77,11746,7.91,481,Master_and_Above
9.42,11785,8.38,274,Master_and_Above
6.93,11858,8.01,139,Master_and_Above
9.41,10320,6.40,184,Master_and_Above
8.45,9985,7.98,343,Master_and_Above
7.07,11918,9.11,545,Master_and_Above
8.37,11735,8.17,464,Master_and_Above
5.83,09822,5.52,0447,Plat_and_Diamond
6.87,08344,5.45,0877,Plat_and_Diamond
5.44,09233,6.34,0655,Plat_and_Diamond
6.24,08983,5.87,0758,Plat_and_Diamond
8.02,10102,5.65,0458,Plat_and_Diamond
5.14,09030,6.06,0912,Plat_and_Diamond
5.23,09832,4.89,0376,Plat_and_Diamond
6.45,08325,6.54,0798,Plat_and_Diamond
6.04,08752,7.65,1078,Plat_and_Diamond
5.00,09484,6.93,0547,Plat_and_Diamond
5.45,10422,7.43,0837,Plat_and_Diamond
5.74,08746,5.58,0478,Plat_and_Diamond
6.16,07488,4.98,0857,Plat_and_Diamond
6.24,10584,7.14,0121,Plat_and_Diamond
7.21,11284,5.57,0754,Plat_and_Diamond
8.25,07921,8.86,1078,Plat_and_Diamond
6.85,10844,6.57,0892,Plat_and_Diamond
6.24,09846,8.55,0774,Plat_and_Diamond
8.13,08664,5.47,0682,Plat_and_Diamond
5.79,10074,8.12,1128,Plat_and_Diamond
7.48,07854,8.38,1007,Plat_and_Diamond
4.99,10784,7.47,0866,Plat_and_Diamond
5.37,08974,5.68,0924,Plat_and_Diamond
7.47,07865,6.47,0866,Plat_and_Diamond
6.25,10748,8.85,1223,Plat_and_Diamond
6.34,11524,7.48,0587,Plat_and_Diamond
8.11,08664,5.21,0875,Plat_and_Diamond
7.86,08754,8.66,0927,Plat_and_Diamond
8.21,09177,6.35,0438,Plat_and_Diamond
7.93,09865,8.47,0898,Plat_and_Diamond
6.72,10874,4.98,0748,Plat_and_Diamond
6.14,10754,7.35,1288,Plat_and_Diamond
5.47,09876,5.14,0468,Plat_and_Diamond
7.21,08256,6.75,0955,Plat_and_Diamond
8.74,07458,9.01,0986,Plat_and_Diamond
5.68,08785,8.28,0057,Plat_and_Diamond
6.24,09878,5.74,0786,Plat_and_Diamond
5.38,10018,7.88,0247,Plat_and_Diamond
8.12,07848,8.98,0925,Plat_and_Diamond
7.74,09858,5.47,0987,Plat_and_Diamond
5.81,08789,4.99,1085,Plat_and_Diamond
6.13,09822,6.85,0986,Plat_and_Diamond
5.86,07899,8.24,0478,Plat_and_Diamond
7.33,10587,8.47,0896,Plat_and_Diamond
5.48,09877,7.85,0798,Plat_and_Diamond
8.21,11084,8.68,0844,Plat_and_Diamond
7.47,07689,9.48,1238,Plat_and_Diamond
5.86,08684,5.25,0489,Plat_and_Diamond
6.84,10484,8.35,0687,Plat_and_Diamond
7.57,09875,4.47,0385,Plat_and_Diamond
7.05,08477,3.85,0741,Gold_and_Under
6.07,08693,4.97,0506,Gold_and_Under
4.04,11501,4.04,0808,Gold_and_Under
4.95,09482,4.55,1047,Gold_and_Under
7.81,07082,5.45,0000,Gold_and_Under
12.5,02383,1.33,0000,Gold_and_Under
7.23,05783,5.23,0543,Gold_and_Under
9.56,04674,3.76,0434,Gold_and_Under
5.42,08456,4.94,0674,Gold_and_Under
4.32,10092,5.66,0653,Gold_and_Under
6.00,06754,5.23,0598,Gold_and_Under
7.39,09112,5.81,0319,Gold_and_Under
8.34,05824,4.05,0391,Gold_and_Under
4.26,09749,4.26,1269,Gold_and_Under
4.32,08926,6.66,0959,Gold_and_Under
6.22,06263,3.96,1176,Gold_and_Under
8.42,06526,4.77,0539,Gold_and_Under
7.47,09144,5.50,0329,Gold_and_Under
8.57,04596,4.32,0000,Gold_and_Under
8.35,05642,5.25,0485,Gold_and_Under
6.68,05246,4.29,0364,Gold_and_Under
7.28,04586,4.46,0214,Gold_and_Under
7.84,05463,3.84,0476,Gold_and_Under
8.69,03546,2.65,0345,Gold_and_Under
5.36,09854,4.21,0486,Gold_and_Under
6.28,02158,3.12,0000,Gold_and_Under
7.82,06521,4.75,0688,Gold_and_Under
8.36,04536,3.94,0687,Gold_and_Under
6.84,03872,3.74,0158,Gold_and_Under
4.96,05234,4.26,0761,Gold_and_Under
7.35,04832,5.06,0458,Gold_and_Under
6.73,07654,5.33,0952,Gold_and_Under
5.86,03659,3.55,0428,Gold_and_Under
6.74,07865,5.72,0762,Gold_and_Under
8.00,03542,4.23,0384,Gold_and_Under
7.24,05432,4.17,0613,Gold_and_Under
5.25,04865,3.76,0584,Gold_and_Under
6.49,02932,2.64,0395,Gold_and_Under
7.23,08293,4.58,0876,Gold_and_Under
7.58,04523,4.32,0346,Gold_and_Under
6.78,03845,3.78,0128,Gold_and_Under
